
255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;247,115,16;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;241,38,115;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;254,64,171;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;244,76,2;255,255,255;250,25,157;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;
247,115,16;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;241,38,115;255,255,255;247,115,16;247,115,16;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;241,38,115;241,38,115;241,38,115;247,115,16;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;241,38,115;254,64,171;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;254,64,171;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;244,76,2;255,255,255;250,25,157;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;244,76,2;244,76,2;244,76,2;250,25,157;250,25,157;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;244,76,2;255,255,255;250,25,157;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;
247,115,16;247,115,16;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;241,38,115;241,38,115;247,115,16;247,115,16;247,115,16;247,115,16;255,255,255;255,255,255;255,255,255;241,38,115;241,38,115;241,38,115;241,38,115;247,115,16;247,115,16;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;241,38,115;241,38,115;254,64,171;247,115,16;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;254,64,171;254,64,171;255,255,255;255,255,255;255,255,255;244,76,2;255,255,255;250,25,157;255,255,255;255,255,255;255,255,255;254,64,171;255,255,255;255,255,255;244,76,2;244,76,2;250,25,157;250,25,157;250,25,157;255,255,255;255,255,255;255,255,255;255,255,255;244,76,2;244,76,2;244,76,2;244,76,2;250,25,157;250,25,157;250,25,157;255,255,255;255,255,255;255,255,255;255,255,255;244,76,2;244,76,2;250,25,157;250,25,157;250,25,157;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;244,76,2;255,255,255;250,25,157;255,255,255;255,255,255;255,255,255;255,255,255;247,115,16;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;255,255,255;241,38,115;255,255,255;
247,115,16;247,115,16;247,115,16;255,255,255;255,255,255;255,255,255;241,38,115;241,38,115;241,38,115;247,115,16;247,115,16;247,115,16;247,115,16;247,115,16;255,255,255;241,38,115;241,38,115;241,38,115;241,38,115;241,38,115;247,115,16;247,115,16;247,115,16;255,255,255;255,255,255;255,255,255;241,38,115;241,38,115;241,38,115;254,64,171;247,115,16;247,115,16;255,255,255;244,76,2;255,255,255;250,25,157;255,255,255;241,38,115;254,64,171;254,64,171;247,115,16;255,255,255;244,76,2;244,76,2;244,76,2;250,25,157;250,25,157;255,255,255;254,64,171;254,64,171;255,255,255;244,76,2;244,76,2;244,76,2;250,25,157;250,25,157;250,25,157;250,25,157;255,255,255;254,64,171;244,76,2;244,76,2;244,76,2;244,76,2;244,76,2;250,25,157;250,25,157;250,25,157;250,25,157;255,255,255;255,255,255;244,76,2;244,76,2;244,76,2;250,25,157;250,25,157;250,25,157;250,25,157;255,255,255;255,255,255;247,115,16;255,255,255;244,76,2;244,76,2;250,25,157;250,25,157;250,25,157;255,255,255;241,38,115;255,255,255;247,115,16;247,115,16;255,255,255;244,76,2;255,255,255;250,25,157;255,255,255;241,38,115;241,38,115;241,38,115;
247,115,16;247,115,16;247,115,16;247,115,16;255,255,255;250,25,157;241,38,115;241,38,115;241,38,115;247,115,16;247,115,16;247,115,16;247,115,16;247,115,16;241,38,115;241,38,115;241,38,115;241,38,115;241,38,115;241,38,115;247,115,16;247,115,16;247,115,16;247,115,16;255,255,255;241,38,115;241,38,115;241,38,115;241,38,115;254,64,171;247,115,16;247,115,16;247,115,16;244,76,2;244,76,2;250,25,157;241,38,115;241,38,115;254,64,171;254,64,171;247,115,16;247,115,16;244,76,2;244,76,2;244,76,2;250,25,157;250,25,157;241,38,115;254,64,171;254,64,171;254,64,171;244,76,2;244,76,2;244,76,2;250,25,157;250,25,157;250,25,157;250,25,157;254,64,171;254,64,171;244,76,2;244,76,2;244,76,2;244,76,2;244,76,2;250,25,157;250,25,157;250,25,157;250,25,157;250,25,157;244,76,2;244,76,2;244,76,2;244,76,2;250,25,157;250,25,157;250,25,157;250,25,157;250,25,157;255,255,255;247,115,16;244,76,2;244,76,2;244,76,2;250,25,157;250,25,157;250,25,157;241,38,115;241,38,115;247,115,16;247,115,16;247,115,16;244,76,2;244,76,2;250,25,157;250,25,157;250,25,157;241,38,115;241,38,115;241,38,115;
247,115,16;247,115,16;247,115,16;247,115,16;241,38,115;250,25,157;241,38,115;241,38,115;241,38,115;247,115,16;247,115,16;247,115,16;247,115,16;247,115,16;241,38,115;241,38,115;241,38,115;241,38,115;241,38,115;241,38,115;247,115,16;247,115,16;247,115,16;247,115,16;241,38,115;241,38,115;241,38,115;241,38,115;241,38,115;254,64,171;247,115,16;247,115,16;247,115,16;244,76,2;244,76,2;250,25,157;241,38,115;241,38,115;254,64,171;254,64,171;247,115,16;247,115,16;244,76,2;244,76,2;244,76,2;250,25,157;250,25,157;241,38,115;254,64,171;254,64,171;254,64,171;244,76,2;244,76,2;244,76,2;250,25,157;250,25,157;250,25,157;250,25,157;254,64,171;254,64,171;244,76,2;244,76,2;244,76,2;244,76,2;244,76,2;250,25,157;250,25,157;250,25,157;250,25,157;250,25,157;244,76,2;244,76,2;244,76,2;244,76,2;250,25,157;250,25,157;250,25,157;250,25,157;250,25,157;244,76,2;247,115,16;244,76,2;244,76,2;244,76,2;250,25,157;250,25,157;250,25,157;241,38,115;241,38,115;247,115,16;247,115,16;247,115,16;244,76,2;244,76,2;250,25,157;250,25,157;250,25,157;241,38,115;241,38,115;241,38,115;
247,115,16;247,115,16;247,115,16;247,115,16;241,38,115;241,38,115;241,38,115;241,38,115;241,38,115;241,38,115;247,115,16;247,115,16;247,115,16;247,115,16;241,38,115;241,38,115;241,38,115;241,38,115;241,38,115;241,38,115;247,115,16;247,115,16;247,115,16;247,115,16;241,38,115;241,38,115;241,38,115;241,38,115;241,38,115;241,38,115;247,115,16;247,115,16;247,115,16;247,115,16;244,76,2;244,76,2;241,38,115;241,38,115;241,38,115;241,38,115;247,115,16;247,115,16;247,115,16;244,76,2;244,76,2;244,76,2;241,38,115;241,38,115;254,64,171;254,64,171;244,76,2;244,76,2;244,76,2;244,76,2;244,76,2;244,76,2;250,25,157;250,25,157;250,25,157;254,64,171;244,76,2;244,76,2;244,76,2;244,76,2;250,25,157;250,25,157;250,25,157;250,25,157;250,25,157;250,25,157;244,76,2;244,76,2;244,76,2;244,76,2;250,25,157;250,25,157;250,25,157;250,25,157;250,25,157;250,25,157;244,76,2;244,76,2;244,76,2;244,76,2;250,25,157;250,25,157;250,25,157;250,25,157;250,25,157;241,38,115;247,115,16;244,76,2;244,76,2;244,76,2;250,25,157;250,25,157;241,38,115;241,38,115;241,38,115;247,115,16;
127,83,160;255,255,255;255,255,255;255,255,255;255,255,255;123,45,146;255,255,255;255,255,255;255,255,255;255,255,255;117,96,246;120,7,5;255,255,255;255,255,255;255,255,255;255,255,255;
127,83,160;127,83,160;255,255,255;127,83,160;123,45,146;123,45,146;117,96,246;120,7,5;120,7,5;117,96,246;117,96,246;120,7,5;127,83,160;255,255,255;117,96,246;120,7,5;
127,83,160;127,83,160;127,83,160;127,83,160;123,45,146;123,45,146;117,96,246;120,7,5;120,7,5;117,96,246;117,96,246;120,7,5;127,83,160;127,83,160;117,96,246;120,7,5;
